protein_acc,serogroup,class
WP_002740024.1,Ballum,1
WP_002727921.1,Ballum,1
WP_002727925.1,Ballum,1
WP_002733618.1,Ballum,1
WP_002727927.1,Ballum,1
WP_228029599.1,Celledoni,1
WP_002614501.1,Celledoni,1
WP_004503085.1,Celledoni,1
WP_004503038.1,Celledoni,1
WP_004503080.1,Celledoni,1
WP_004503081.1,Celledoni,1
WP_239248135.1,Celledoni,1
WP_004503040.1,Celledoni,1
WP_004503040.1,Celledoni,1
WP_061221763.1,Celledoni,1
WP_004503073.1,Celledoni,1
WP_004503073.1,Celledoni,1
WP_004503036.1,Celledoni,1
WP_004503060.1,Celledoni,1
WP_004503060.1,Celledoni,1
WP_004503095.1,Celledoni,1
WP_004503106.1,Celledoni,1
WP_004503130.1,Celledoni,1
WP_004503042.1,Celledoni,1
WP_016758358.1,Celledoni,1
WP_004503088.1,Celledoni,1
WP_004503132.1,Celledoni,1
WP_004503032.1,Celledoni,1
WP_004503087.1,Celledoni,1
WP_061217626.1,Celledoni,1
WP_239248136.1,Celledoni,1
WP_026054523.1,Celledoni,1
WP_004503049.1,Celledoni,1
WP_004503099.1,Celledoni,1
WP_004503050.1,Celledoni,1
WP_004503089.1,Celledoni,1
WP_239248137.1,Celledoni,1
WP_239248138.1,Celledoni,1
WP_000572389.1,Celledoni,1
WP_004503138.1,Celledoni,1
WP_004503127.1,Celledoni,1
WP_061236010.1,Celledoni,1
WP_061236010.1,Celledoni,1
WP_239248139.1,Celledoni,1
WP_239248140.1,Celledoni,1
WP_239248141.1,Celledoni,1
WP_239248142.1,Celledoni,1
WP_239248142.1,Celledoni,1
WP_239248142.1,Celledoni,1
WP_004503054.1,Celledoni,1
WP_004503155.1,Celledoni,1
WP_198288176.1,Celledoni,1
WP_004503102.1,Celledoni,1
WP_004503102.1,Celledoni,1
WP_004503062.1,Celledoni,1
WP_016758916.1,Celledoni,1
WP_004503046.1,Celledoni,1
WP_004503150.1,Celledoni,1
WP_004503058.1,Celledoni,1
WP_004503058.1,Celledoni,1
WP_239248143.1,Celledoni,1
WP_061217859.1,Celledoni,1
WP_061217859.1,Celledoni,1
WP_061217859.1,Celledoni,1
WP_061217859.1,Celledoni,1
WP_239248144.1,Celledoni,1
WP_004503988.1,Celledoni,1
WP_061216803.1,Celledoni,1
WP_239248145.1,Celledoni,1
WP_239248146.1,Celledoni,1
WP_061222743.1,Celledoni,1
WP_239248147.1,Celledoni,1
WP_239248148.1,Celledoni,1
WP_004503982.1,Celledoni,1
WP_239248149.1,Celledoni,1
WP_239248150.1,Celledoni,1
WP_239244854.1,Celledoni,1
WP_025185097.1,Celledoni,1
WP_239245559.1,Celledoni,1
WP_061217853.1,Celledoni,1
WP_239248151.1,Celledoni,1
WP_004503514.1,Celledoni,1
WP_004503578.1,Celledoni,1
WP_004503578.1,Celledoni,1
WP_235595137.1,Celledoni,1
WP_061217850.1,Celledoni,1
WP_239248152.1,Celledoni,1
WP_239248153.1,Celledoni,1
WP_239248153.1,Celledoni,1
WP_004503556.1,Celledoni,1
WP_239248154.1,Celledoni,1
WP_239248155.1,Celledoni,1
WP_239248155.1,Celledoni,1
WP_004503495.1,Celledoni,1
WP_004503611.1,Celledoni,1
WP_004503572.1,Celledoni,1
WP_239248156.1,Celledoni,1
WP_239248157.1,Celledoni,1
WP_004503534.1,Celledoni,1
WP_016759267.1,Celledoni,1
WP_004503587.1,Celledoni,1
WP_004503587.1,Celledoni,1
WP_004503587.1,Celledoni,1
WP_239248268.1,Celledoni,1
WP_239248158.1,Celledoni,1
WP_239248159.1,Celledoni,1
WP_239248159.1,Celledoni,1
WP_239248160.1,Celledoni,1
WP_239248161.1,Celledoni,1
WP_239248162.1,Celledoni,1
WP_239248163.1,Celledoni,1
WP_004503543.1,Celledoni,1
WP_239248164.1,Celledoni,1
WP_239248165.1,Celledoni,1
WP_004498219.1,Celledoni,1
WP_002556255.1,Celledoni,1
WP_004499131.1,Celledoni,1
WP_239248166.1,Celledoni,1
WP_061217842.1,Celledoni,1
WP_016760839.1,Celledoni,1
WP_016760839.1,Celledoni,1
WP_016759275.1,Celledoni,1
WP_020782631.1,Celledoni,1
WP_016759276.1,Celledoni,1
WP_002620407.1,Celledoni,1
WP_004498202.1,Celledoni,1
WP_016760843.1,Celledoni,1
WP_239248167.1,Celledoni,1
WP_004498142.1,Javanica,1
WP_002725873.1,Javanica,1
WP_002733579.1,Javanica,1
WP_026054882.1,Javanica,1
WP_002733646.1,Javanica,1
WP_258203953.1,Javanica,1
WP_250066499.1,Javanica,1
WP_002740779.1,Javanica,1
WP_002740779.1,Javanica,1
WP_250066500.1,Javanica,1
WP_002740826.1,Javanica,1
WP_002740861.1,Javanica,1
WP_002740729.1,Javanica,1
WP_002740729.1,Javanica,1
WP_002740998.1,Javanica,1
WP_004777170.1,Javanica,1
WP_004777170.1,Javanica,1
WP_002740848.1,Javanica,1
WP_002733551.1,Javanica,1
WP_004777167.1,Javanica,1
WP_002740917.1,Javanica,1
WP_002733615.1,Javanica,1
WP_002733714.1,Javanica,1
WP_002733587.1,Javanica,1
WP_002733755.1,Javanica,1
WP_002733755.1,Javanica,1
WP_002733621.1,Javanica,1
WP_016561424.1,Javanica,1
WP_002733555.1,Javanica,1
WP_002733737.1,Javanica,1
WP_002733741.1,Javanica,1
WP_002733611.1,Javanica,1
WP_016758092.1,Javanica,1
WP_016749081.1,Javanica,1
WP_002738232.1,Javanica,1
WP_002744551.1,Javanica,1
WP_002741093.1,Javanica,1
WP_002733589.1,Javanica,1
WP_002733589.1,Javanica,1
WP_002733672.1,Javanica,1
WP_002733548.1,Javanica,1
WP_002733548.1,Javanica,1
WP_002733548.1,Javanica,1
WP_002733638.1,Javanica,1
WP_002733599.1,Javanica,1
WP_002733696.1,Javanica,1
WP_002733574.1,Javanica,1
WP_002733574.1,Javanica,1
WP_032853440.1,Javanica,1
WP_002733775.1,Javanica,1
WP_002733775.1,Javanica,1
WP_250066501.1,Javanica,1
WP_002733667.1,Javanica,1
WP_002733667.1,Javanica,1
WP_002733667.1,Javanica,1
WP_002733667.1,Javanica,1
WP_002733730.1,Javanica,1
WP_002733633.1,Javanica,1
WP_002733530.1,Javanica,1
WP_258203954.1,Javanica,1
WP_002733580.1,Javanica,1
WP_230456555.1,Javanica,1
WP_002733739.1,Javanica,1
WP_230456966.1,Javanica,1
WP_002733540.1,Javanica,1
WP_002733677.1,Javanica,1
WP_258203955.1,Javanica,1
WP_002733728.1,Javanica,1
WP_002733668.1,Javanica,1
WP_250066503.1,Javanica,1
WP_002733568.1,Javanica,1
WP_250066504.1,Javanica,1
WP_250066504.1,Javanica,1
WP_002733603.1,Javanica,1
WP_016749097.1,Javanica,1
WP_002733722.1,Javanica,1
WP_230456553.1,Javanica,1
WP_002733544.1,Javanica,1
WP_002733544.1,Javanica,1
WP_002733582.1,Javanica,1
WP_002733685.1,Javanica,1
WP_002733651.1,Javanica,1
WP_002733651.1,Javanica,1
WP_002738295.1,Javanica,1
WP_002733757.1,Javanica,1
WP_002733619.1,Javanica,1
WP_002733546.1,Javanica,1
WP_002733661.1,Javanica,1
WP_002733622.1,Javanica,1
WP_250066505.1,Javanica,1
WP_002733777.1,Javanica,1
WP_002733777.1,Javanica,1
WP_002733777.1,Javanica,1
WP_002738288.1,Javanica,1
WP_002733576.1,Javanica,1
WP_002733553.1,Javanica,1
WP_002733698.1,Javanica,1
WP_250066506.1,Javanica,1
WP_250066506.1,Javanica,1
WP_250066507.1,Javanica,1
WP_002721297.1,Javanica,1
WP_002733636.1,Javanica,1
WP_002733711.1,Javanica,1
WP_002740298.1,Javanica,1
WP_002733577.1,Javanica,1
WP_258203960.1,Javanica,1
WP_250066509.1,Javanica,1
WP_002727923.1,Javanica,1
WP_250066510.1,Javanica,1
WP_002727913.1,Javanica,1
WP_250066511.1,Javanica,1
WP_016758040.1,Javanica,1
WP_016758040.1,Javanica,1
WP_002727916.1,Javanica,1
WP_250066513.1,Javanica,1
WP_002740024.1,Javanica,1
WP_250066514.1,Javanica,1
WP_002727925.1,Javanica,1
WP_002733618.1,Javanica,1
WP_250066515.1,Javanica,1
WP_250066516.1,Manhao,1
WP_020985020.1,Manhao,1
WP_010578412.1,Manhao,1
WP_020984893.1,Manhao,1
WP_010578411.1,Manhao,1
WP_010578410.1,Manhao,1
WP_020984930.1,Manhao,1
WP_020984935.1,Manhao,1
WP_020984935.1,Manhao,1
WP_010578407.1,Manhao,1
WP_010578406.1,Manhao,1
WP_010578405.1,Manhao,1
WP_020984976.1,Manhao,1
WP_020984976.1,Manhao,1
WP_010578402.1,Manhao,1
WP_020984841.1,Manhao,1
WP_020984841.1,Manhao,1
WP_010578401.1,Manhao,1
WP_010578400.1,Manhao,1
WP_010578399.1,Manhao,1
WP_020984860.1,Manhao,1
WP_010578397.1,Manhao,1
WP_039942433.1,Manhao,1
WP_020985012.1,Manhao,1
WP_010578396.1,Manhao,1
WP_010578395.1,Manhao,1
WP_010578394.1,Manhao,1
WP_244265121.1,Manhao,1
WP_020984865.1,Manhao,1
WP_010578390.1,Manhao,1
WP_010578390.1,Manhao,1
WP_010578389.1,Manhao,1
WP_020984992.1,Manhao,1
WP_039942515.1,Manhao,1
WP_039942515.1,Manhao,1
WP_010578386.1,Manhao,1
WP_039942517.1,Manhao,1
WP_020984822.1,Manhao,1
WP_020984867.1,Manhao,1
WP_010578380.1,Manhao,1
WP_244265125.1,Manhao,1
WP_010578378.1,Manhao,1
WP_010578375.1,Manhao,1
WP_010578374.1,Manhao,1
WP_020984848.1,Manhao,1
WP_039942519.1,Manhao,1
WP_010578372.1,Manhao,1
WP_039942440.1,Manhao,1
WP_039942440.1,Manhao,1
WP_039942440.1,Manhao,1
WP_020985000.1,Manhao,1
WP_020984843.1,Manhao,1
WP_208855149.1,Manhao,1
WP_010578367.1,Manhao,1
WP_010578367.1,Manhao,1
WP_020984998.1,Manhao,1
WP_010578364.1,Manhao,1
WP_010578363.1,Manhao,1
WP_010578362.1,Manhao,1
WP_020984894.1,Manhao,1
WP_020984894.1,Manhao,1
WP_020984877.1,Manhao,1
WP_010578359.1,Manhao,1
WP_010578359.1,Manhao,1
WP_010578359.1,Manhao,1
WP_010578359.1,Manhao,1
WP_010578358.1,Manhao,1
WP_010578357.1,Manhao,1
WP_020984892.1,Manhao,1
WP_010578356.1,Manhao,1
WP_020984941.1,Manhao,1
WP_020984911.1,Manhao,1
WP_176082391.1,Manhao,1
WP_020984958.1,Manhao,1
WP_010578352.1,Manhao,1
WP_010578351.1,Manhao,1
WP_010578350.1,Manhao,1
WP_020984884.1,Manhao,1
WP_020984884.1,Manhao,1
WP_020984929.1,Manhao,1
WP_020985009.1,Manhao,1
WP_020984850.1,Manhao,1
WP_010578346.1,Manhao,1
WP_010578346.1,Manhao,1
WP_010578345.1,Manhao,1
WP_010578344.1,Manhao,1
WP_010578343.1,Manhao,1
WP_010578342.1,Manhao,1
WP_020984967.1,Manhao,1
WP_020984953.1,Manhao,1
WP_039942450.1,Manhao,1
WP_020984983.1,Manhao,1
WP_020984983.1,Manhao,1
WP_020984983.1,Manhao,1
WP_010578338.1,Manhao,1
WP_020985003.1,Manhao,1
WP_020984830.1,Manhao,1
WP_020984891.1,Manhao,1
WP_010578334.1,Manhao,1
WP_010578334.1,Manhao,1
WP_010578333.1,Manhao,1
WP_020984971.1,Manhao,1
WP_020984921.1,Manhao,1
WP_020984854.1,Manhao,1
WP_020985007.1,Manhao,1
WP_010578331.1,Manhao,1
WP_020984820.1,Manhao,1
WP_010578330.1,Manhao,1
WP_020984840.1,Manhao,1
WP_010578328.1,Manhao,1
WP_020985004.1,Manhao,1
WP_020984922.1,Manhao,1
WP_020985010.1,Manhao,1
WP_020985010.1,Manhao,1
WP_010578325.1,Manhao,1
WP_039942465.1,Manhao,1
WP_039942467.1,Manhao,1
WP_010578324.1,Manhao,1
WP_010578323.1,Manhao,1
WP_010578322.1,Manhao,1
WP_010578321.1,Manhao,1
WP_010578320.1,Ranarum,1
WP_003009553.1,Ranarum,1
WP_003009527.1,Ranarum,1
WP_003009854.1,Ranarum,1
WP_003009869.1,Ranarum,1
WP_003009535.1,Ranarum,1
WP_003009795.1,Ranarum,1
WP_003009515.1,Ranarum,1
WP_003009515.1,Ranarum,1
WP_003009505.1,Ranarum,1
WP_003009804.1,Ranarum,1
WP_003009804.1,Ranarum,1
WP_003009317.1,Ranarum,1
WP_003009459.1,Ranarum,1
WP_003009459.1,Ranarum,1
WP_003009745.1,Ranarum,1
WP_036096976.1,Ranarum,1
WP_003009905.1,Ranarum,1
WP_036096974.1,Ranarum,1
WP_003009428.1,Ranarum,1
WP_003009848.1,Ranarum,1
WP_003009953.1,Ranarum,1
WP_003009592.1,Ranarum,1
WP_036096972.1,Ranarum,1
WP_036096970.1,Ranarum,1
WP_230458349.1,Ranarum,1
WP_003009503.1,Ranarum,1
WP_003009503.1,Ranarum,1
WP_003009356.1,Ranarum,1
WP_003009636.1,Ranarum,1
WP_003009401.1,Ranarum,1
WP_003009790.1,Ranarum,1
WP_003009729.1,Ranarum,1
WP_003009939.1,Ranarum,1
WP_003009665.1,Ranarum,1
WP_036096962.1,Ranarum,1
WP_003009398.1,Ranarum,1
WP_003009741.1,Ranarum,1
WP_036097006.1,Ranarum,1
WP_003009573.1,Ranarum,1
WP_003009662.1,Ranarum,1
WP_003009589.1,Ranarum,1
WP_003009812.1,Ranarum,1
WP_003009812.1,Ranarum,1
WP_003009776.1,Ranarum,1
WP_003009576.1,Ranarum,1
WP_003009576.1,Ranarum,1
WP_036097005.1,Ranarum,1
WP_003009456.1,Ranarum,1
WP_003009456.1,Ranarum,1
WP_003009456.1,Ranarum,1
WP_003009456.1,Ranarum,1
WP_036096948.1,Ranarum,1
WP_003009323.1,Ranarum,1
WP_003009722.1,Ranarum,1
WP_003009422.1,Ranarum,1
WP_196221670.1,Ranarum,1
WP_003009473.1,Ranarum,1
WP_036096945.1,Ranarum,1
WP_036096942.1,Ranarum,1
WP_003009903.1,Ranarum,1
WP_003009529.1,Ranarum,1
WP_003009523.1,Ranarum,1
WP_003009380.1,Ranarum,1
WP_003009686.1,Ranarum,1
WP_003009450.1,Ranarum,1
WP_003009883.1,Ranarum,1
WP_003009883.1,Ranarum,1
WP_003009621.1,Ranarum,1
WP_003009949.1,Ranarum,1
WP_003009735.1,Ranarum,1
WP_036096938.1,Ranarum,1
WP_036096938.1,Ranarum,1
WP_003009650.1,Ranarum,1
WP_003009344.1,Ranarum,1
WP_003009756.1,Ranarum,1
WP_003009756.1,Ranarum,1
WP_003009386.1,Ranarum,1
WP_036096936.1,Ranarum,1
WP_003009633.1,Ranarum,1
WP_003009712.1,Ranarum,1
WP_036096998.1,Ranarum,1
WP_003009407.1,Ranarum,1
WP_003009310.1,Ranarum,1
WP_003009677.1,Ranarum,1
WP_003009880.1,Ranarum,1
WP_036096935.1,Ranarum,1
WP_036096935.1,Ranarum,1
WP_036096935.1,Ranarum,1
WP_003009580.1,Ranarum,1
WP_003009943.1,Ranarum,1
WP_003009765.1,Ranarum,1
WP_003009878.1,Ranarum,1
WP_003009508.1,Ranarum,1
WP_003009923.1,Ranarum,1
WP_003009923.1,Ranarum,1
WP_003009353.1,Ranarum,1
WP_003009782.1,Ranarum,1
WP_003009336.1,Ranarum,1
WP_003009476.1,Ranarum,1
WP_003009808.1,Ranarum,1
WP_003009413.1,Ranarum,1
WP_003009872.1,Ranarum,1
WP_003009375.1,Ranarum,1
WP_036096931.1,Ranarum,1
WP_003009532.1,Ranarum,1
WP_003009932.1,Ranarum,1
WP_003009471.1,Ranarum,1
WP_036096929.1,Ranarum,1
WP_036096929.1,Ranarum,1
WP_003009748.1,Ranarum,1
WP_003009327.1,Ranarum,1
WP_003009724.1,Ranarum,1
WP_003009449.1,Ranarum,1
WP_003009876.1,Ranarum,1
WP_003009525.1,Ranarum,1
WP_003009886.1,Ranarum,1
WP_036096920.1,Sarmin,1
WP_004462903.1,Sarmin,1
WP_004472299.1,Sarmin,1
WP_004479563.1,Sarmin,1
WP_004472170.1,Sarmin,1
WP_004479538.1,Sarmin,1
WP_282974014.1,Sarmin,1
WP_004472307.1,Sarmin,1
WP_004472307.1,Sarmin,1
WP_004479660.1,Sarmin,1
WP_004472322.1,Sarmin,1
WP_004472364.1,Sarmin,1
WP_004479653.1,Sarmin,1
WP_004479653.1,Sarmin,1
WP_004470185.1,Sarmin,1
WP_020783869.1,Sarmin,1
WP_020783869.1,Sarmin,1
WP_032912997.1,Sarmin,1
WP_004470135.1,Sarmin,1
WP_032912999.1,Sarmin,1
WP_004470037.1,Sarmin,1
WP_282974011.1,Sarmin,1
WP_004470188.1,Sarmin,1
WP_282974009.1,Sarmin,1
WP_004479640.1,Sarmin,1
WP_004479675.1,Sarmin,1
WP_050558826.1,Sarmin,1
WP_282974006.1,Sarmin,1
WP_004479537.1,Sarmin,1
WP_004479635.1,Sarmin,1
WP_004479657.1,Sarmin,1
WP_282974003.1,Sarmin,1
WP_282974001.1,Sarmin,1
WP_282973999.1,Sarmin,1
WP_032918755.1,Sarmin,1
WP_004472325.1,Sarmin,1
WP_282973997.1,Sarmin,1
WP_004479548.1,Sarmin,1
WP_004479548.1,Sarmin,1
WP_004479686.1,Sarmin,1
WP_282973995.1,Sarmin,1
WP_046690007.1,Sarmin,1
WP_282973992.1,Sarmin,1
WP_282973990.1,Sarmin,1
WP_269026269.1,Sarmin,1
WP_269026269.1,Sarmin,1
WP_282973988.1,Sarmin,1
WP_282973986.1,Sarmin,1
WP_282973985.1,Sarmin,1
WP_282973983.1,Sarmin,1
WP_004472231.1,Sarmin,1
WP_004472231.1,Sarmin,1
WP_004472231.1,Sarmin,1
WP_004472231.1,Sarmin,1
WP_282973981.1,Sarmin,1
WP_004472268.1,Sarmin,1
WP_004479663.1,Sarmin,1
WP_004479693.1,Sarmin,1
WP_004472297.1,Sarmin,1
WP_282973976.1,Sarmin,1
WP_230457147.1,Sarmin,1
WP_230457148.1,Sarmin,1
WP_004479722.1,Sarmin,1
WP_155118566.1,Sarmin,1
WP_230457149.1,Sarmin,1
WP_004479723.1,Sarmin,1
WP_004472309.1,Sarmin,1
WP_004479570.1,Sarmin,1
WP_004479612.1,Sarmin,1
WP_004479521.1,Sarmin,1
WP_004479521.1,Sarmin,1
WP_004472236.1,Sarmin,1
WP_004479559.1,Sarmin,1
WP_004472242.1,Sarmin,1
WP_004479642.1,Sarmin,1
WP_004472358.1,Sarmin,1
WP_004472358.1,Sarmin,1
WP_004479575.1,Sarmin,1
WP_004477718.1,Sarmin,1
WP_004479573.1,Sarmin,1
WP_004472272.1,Sarmin,1
WP_008394668.1,Sarmin,1
WP_004479664.1,Sarmin,1
WP_004479700.1,Sarmin,1
WP_032809699.1,Sarmin,1
WP_004479530.1,Sarmin,1
WP_004479530.1,Sarmin,1
WP_004479530.1,Sarmin,1
WP_004479740.1,Sarmin,1
WP_282974802.1,Sarmin,1
WP_004479550.1,Sarmin,1
WP_004472333.1,Sarmin,1
WP_004479724.1,Sarmin,1
WP_004485973.1,Sarmin,1
WP_004479697.1,Sarmin,1
WP_020783799.1,Sarmin,1
WP_020783799.1,Sarmin,1
WP_004470016.1,Sarmin,1
WP_282974407.1,Sarmin,1
WP_282974405.1,Sarmin,1
WP_032918765.1,Sarmin,1
WP_004479544.1,Sarmin,1
WP_004476493.1,Sarmin,1
WP_032921295.1,Sarmin,1
WP_004479547.1,Sarmin,1
WP_282967094.1,Sarmin,1
WP_004462146.1,Sarmin,1
WP_004479683.1,Sarmin,1
WP_004479718.1,Sarmin,1
WP_004479705.1,Sarmin,1
WP_282974402.1,Sarmin,1
WP_004479742.1,Sarmin,1
WP_004479628.1,Sarmin,1
WP_004490056.1,Sarmin,1
WP_004476514.1,Sarmin,1
WP_004476528.1,Sarmin,1
WP_004476600.1,Sarmin,1
WP_004494236.1,Sarmin,1
WP_004481573.1,Sarmin,1
WP_282969298.1,Sarmin,1
WP_004478000.1,Canicola,1
WP_000340715.1,Canicola,1
WP_000410273.1,Canicola,1
WP_000604524.1,Canicola,1
WP_000884059.1,Canicola,1
WP_000646255.1,Canicola,1
WP_000774259.1,Canicola,1
WP_000612799.1,Canicola,1
WP_000612799.1,Canicola,1
WP_001067557.1,Canicola,1
WP_001198107.1,Canicola,1
WP_000608291.1,Canicola,1
WP_000689739.1,Canicola,1
WP_000689739.1,Canicola,1
WP_000342716.1,Canicola,1
WP_001246623.1,Canicola,1
WP_001246623.1,Canicola,1
WP_000479984.1,Canicola,1
WP_000715958.1,Canicola,1
WP_001088861.1,Canicola,1
WP_000517242.1,Canicola,1
WP_000721883.1,Canicola,1
WP_000221107.1,Canicola,1
WP_000284355.1,Canicola,1
WP_001091189.1,Canicola,1
WP_000406134.1,Canicola,1
WP_000275679.1,Canicola,1
WP_000834719.1,Canicola,1
WP_000834719.1,Canicola,1
WP_000799637.1,Canicola,1
WP_001206408.1,Canicola,1
WP_000579813.1,Canicola,1
WP_001052314.1,Canicola,1
WP_000132018.1,Canicola,1
WP_000600891.1,Canicola,1
WP_000947841.1,Canicola,1
WP_000516590.1,Canicola,1
WP_001230563.1,Canicola,1
WP_001230563.1,Canicola,1
WP_000823146.1,Canicola,1
WP_000800439.1,Canicola,1
WP_000800439.1,Canicola,1
WP_000847005.1,Canicola,1
WP_000582623.1,Canicola,1
WP_000582623.1,Canicola,1
WP_000582623.1,Canicola,1
WP_000582623.1,Canicola,1
WP_000346041.1,Canicola,1
WP_001046759.1,Canicola,1
WP_000202832.1,Canicola,1
WP_000432947.1,Canicola,1
WP_002115474.1,Canicola,1
WP_000698813.1,Canicola,1
WP_000977947.1,Canicola,1
WP_000547460.1,Canicola,1
WP_000231290.1,Canicola,1
WP_001089597.1,Canicola,1
WP_000848236.1,Canicola,1
WP_000734401.1,Canicola,1
WP_000734401.1,Canicola,1
WP_002115390.1,Canicola,1
WP_000661931.1,Canicola,1
WP_000675255.1,Canicola,1
WP_000675255.1,Canicola,1
WP_000045938.1,Canicola,1
WP_000859505.1,Canicola,1
WP_000487319.1,Canicola,1
WP_001045301.1,Canicola,1
WP_000601375.1,Canicola,1
WP_001068984.1,Canicola,1
WP_000849203.1,Canicola,1
WP_000007540.1,Canicola,1
WP_000549981.1,Canicola,1
WP_000549981.1,Canicola,1
WP_000549981.1,Canicola,1
WP_061294270.1,Canicola,1
WP_000583390.1,Canicola,1
WP_000475897.1,Canicola,1
WP_001023239.1,Canicola,1
WP_001023239.1,Canicola,1
WP_000734457.1,Canicola,1
WP_000686574.1,Canicola,1
WP_000289502.1,Canicola,1
WP_000103606.1,Canicola,1
WP_000939585.1,Canicola,1
WP_000050434.1,Canicola,1
WP_001084686.1,Canicola,1
WP_000876105.1,Canicola,1
WP_000343397.1,Canicola,1
WP_000575181.1,Canicola,1
WP_000600954.1,Canicola,1
WP_000282882.1,Canicola,1
WP_000853988.1,Canicola,1
WP_000853988.1,Canicola,1
WP_001159758.1,Canicola,1
WP_000642147.1,Canicola,1
WP_000723081.1,Canicola,1
WP_000842260.1,Canicola,1
WP_000878671.1,Canicola,1
WP_001114262.1,Canicola,1
WP_000394234.1,Canicola,1
WP_000827955.1,Icterohaemorrhagiae,1
WP_000340715.1,Icterohaemorrhagiae,1
WP_000410273.1,Icterohaemorrhagiae,1
WP_000604524.1,Icterohaemorrhagiae,1
WP_000884059.1,Icterohaemorrhagiae,1
WP_000646256.1,Icterohaemorrhagiae,1
WP_000774263.1,Icterohaemorrhagiae,1
WP_002163445.1,Icterohaemorrhagiae,1
WP_002163445.1,Icterohaemorrhagiae,1
WP_001067556.1,Icterohaemorrhagiae,1
WP_000776640.1,Icterohaemorrhagiae,1
WP_000776640.1,Icterohaemorrhagiae,1
WP_000424609.1,Icterohaemorrhagiae,1
WP_002074065.1,Icterohaemorrhagiae,1
WP_002074065.1,Icterohaemorrhagiae,1
WP_000479984.1,Icterohaemorrhagiae,1
WP_000715958.1,Icterohaemorrhagiae,1
WP_001088863.1,Icterohaemorrhagiae,1
WP_000517243.1,Icterohaemorrhagiae,1
WP_001149938.1,Icterohaemorrhagiae,1
WP_000611594.1,Icterohaemorrhagiae,1
WP_001015425.1,Icterohaemorrhagiae,1
WP_000582222.1,Icterohaemorrhagiae,1
